id,empresa_id,proveedor_id,categoria_id,suministro,calificacion_actual,nota_actual,proxima_evaluacion
99eadeb9-da50-5714-9013-edf0444cde75,a6f1d8c3-6194-5804-ac16-a98cc205559d,910b1d9f-6755-55cd-bdca-8327d0a8a954,27eab39b-d505-5d1f-85ff-615de00b8e9a,MATERIALES,confiable,75.0,2026-07-25
8a51d741-4e23-504c-8dc1-ed7494e6e2a2,a6f1d8c3-6194-5804-ac16-a98cc205559d,c4d7337b-9c98-50fd-9d51-14f74529cedd,27eab39b-d505-5d1f-85ff-615de00b8e9a,Venta al por mayor no especializada,confiable,80.0,2026-05-25
7b58ae94-4c5f-5e65-8ad3-6937ced691ea,a6f1d8c3-6194-5804-ac16-a98cc205559d,c4d7337b-9c98-50fd-9d51-14f74529cedd,6bf4bdda-3739-51f4-be22-48b0e38ea47a,VENTA POR MAYOR NO ESPECIALIZADA,confiable,80.0,2025-11-26
50a105d0-d756-5cda-8ee0-fc5f628c78f9,a6f1d8c3-6194-5804-ac16-a98cc205559d,a407c82a-4654-5e94-9875-b6cc2453d812,e002fb1b-5c16-59a2-9a5b-8b6c4b780b29,1. SERVICIOS GENERALES,confiable,80.0,2025-08-12
5dbbd952-518e-5e93-9c19-42c1a287a672,a6f1d8c3-6194-5804-ac16-a98cc205559d,a407c82a-4654-5e94-9875-b6cc2453d812,27eab39b-d505-5d1f-85ff-615de00b8e9a,"ALQUILER Y ARRENDAMIENTO DE OTROS TIPOS DE MAQUINARIA, EQUIPO Y BIENES TANGIBLES",confiable,80.0,2026-02-08
84d467ce-3cc6-5a29-806f-f01237dfd127,a6f1d8c3-6194-5804-ac16-a98cc205559d,a407c82a-4654-5e94-9875-b6cc2453d812,86ccc685-a2fb-562e-9ac7-debfacbcf12a,"ALQUILER Y ARRENDAMIENTO DE OTROS TIPOS DE MAQUINARIA,
EQUIPO Y BIENES TANGIBLES",confiable,80.0,2026-08-07
a400dde0-76c9-5777-b331-206b8712d500,a6f1d8c3-6194-5804-ac16-a98cc205559d,1a520a98-4706-51e1-9268-79a79370b056,27eab39b-d505-5d1f-85ff-615de00b8e9a,VENTA AL POR MENOR DE OTROS PRODUCTOS,confiable,75.0,2026-07-20
39687414-cf99-5fb0-8f4b-ceabc5446a4d,a6f1d8c3-6194-5804-ac16-a98cc205559d,7eb15a07-6dfe-5732-a35c-214a78979522,6bf4bdda-3739-51f4-be22-48b0e38ea47a,ACTIVIDADES DE SEGURIDAD PRIVADA,confiable,75.0,2026-03-04
594ada44-106c-5490-b5da-42730ea768c2,a6f1d8c3-6194-5804-ac16-a98cc205559d,c0e00dfa-e48f-5cc4-9391-efab53724188,27eab39b-d505-5d1f-85ff-615de00b8e9a,"ACTIVIDADES DE ARQUITECTURA E INGENIERÍA Y ACTIVIDADES
CONEXAS DE CONSULTORÍA TÉCNICA",confiable,75.0,2026-05-06
f67f0448-d098-5331-a9e8-6ed9c2be5449,a6f1d8c3-6194-5804-ac16-a98cc205559d,c0e00dfa-e48f-5cc4-9391-efab53724188,6bf4bdda-3739-51f4-be22-48b0e38ea47a,ACTIVIDADES DE ARQUITECTURA E INGENIERÍA Y ACTIVIDADES CONEXAS DE CONSULTORÍA TÉCNICA,confiable,75.0,2025-11-07
e5cf7d26-0824-5f97-9569-8c2477c2d706,a6f1d8c3-6194-5804-ac16-a98cc205559d,c0e00dfa-e48f-5cc4-9391-efab53724188,a18fb552-93f5-58a4-be11-ce3e5274f443,ACTIVIDADES DE ARQUITECTURA E INGENIERÍA Y ACTIVIDADES CONEXAS DE CONSULTORÍA TÉCNICA,confiable,75.0,2025-05-11
